Title,URL,Exam_Date,degree,examCode,etype,type,result,grad,Regulation,Is_Supplementary,Exam_Type,Year,Semester
B.Tech IV Year I Semester (R18) Supplementary JUNE-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1866&etype=r17&type=intgrade,08-AUGUST-2025,btech,1866,r17,intgrade,,,R18,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R16) Supplementary JUNE-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1867&etype=r17&type=intgrade,08-AUGUST-2025,btech,1867,r17,intgrade,,,R16,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R15) Supplementary JUNE-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1868,08-AUGUST-2025,btech,1868,,,,,R15,Yes,Supplementary,IV,I
B.Tech IV Year I Semester (R18) (Minor degree) Supplementary JUNE-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1869&etype=r17&type=intgrade,08-AUGUST-2025,btech,1869,r17,intgrade,,,R18,Yes,Supplementary,IV,I
RC/RV B.Tech IV Year II Semester (R18) Regular JUNE-2025 Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1862&etype=r17&result=gradercrv&type=rcrvintgrade,08-AUGUST-2025,btech,1862,r17,rcrvintgrade,gradercrv,,R18,No,Regular,IV,II
RC/RV B.Tech IV Year II Semester (R16) Supplementary  JUNE-2025  Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1863&etype=r17&result=gradercrv&type=rcrvintgrade,08-AUGUST-2025,btech,1863,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,IV,II
RC/RV B.Tech IV Year II Semester (R15) Supplementary  JUNE-2025  Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1864&etype=rcrv,08-AUGUST-2025,btech,1864,rcrv,,,,R15,Yes,Supplementary,IV,II
B.Tech IV Year II Semester (R18) Regular Examinations Results June-2025,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1862&etype=r17&type=intgrade,18-JULY-2025,btech,1862,r17,intgrade,,,R18,No,Regular,IV,II
B.Tech IV Year II Semester (R16) Supplementary Examinations Results June-2025,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1863&etype=r17&type=intgrade,18-JULY-2025,btech,1863,r17,intgrade,,,R16,Yes,Supplementary,IV,II
B.Tech IV Year II Semester (R15) Supplementary Examinations Results June-2025,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1864,18-JULY-2025,btech,1864,,,,,R15,Yes,Supplementary,IV,II
B.Tech IV Year II Semester (R18) Minor Degree Program Regular Examinations Results June-2025,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1865&etype=r17&type=intgrade,18-JULY-2025,btech,1865,r17,intgrade,,,R18,No,Regular,IV,II
RC/RV B.Tech IV Year I Semester (R18) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1858&etype=r17&result=gradercrv&type=rcrvintgrade,19-MAY-2025,btech,1858,r17,rcrvintgrade,gradercrv,,R18,No,Regular,IV,I
RC/RV B.Tech IV Year I Semester (R16) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1859&etype=r17&result=gradercrv&type=rcrvintgrade,19-MAY-2025,btech,1859,r17,rcrvintgrade,gradercrv,,R16,Yes,Supplementary,IV,I
RC/RV B.Tech IV Year I Semester (R15) Supplementary Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1860&etype=rcrv,19-MAY-2025,btech,1860,rcrv,,,,R15,Yes,Supplementary,IV,I
RC/RV B.Tech III Year I Semester (R22) Regular Examinations Results,http://results.jntuh.ac.in/jsp/SearchResult.jsp?degree=btech&examCode=1841&etype=r17&result=gradercrv&type=rcrvintgrade,19-MAY-2025,btech,1841,r17,rcrvintgrade,gradercrv,,R22,No,Regular,III,I
